id,vacancyName,experience,address,salary,companyId,createDate
749,Assistant Professor,2,1 Evergreen Parkway,159072,749,2023-10-21 00:00:00
750,Software Engineer IV,9,542 Glendale Trail,154424,750,2023-09-19 00:00:00
751,Software Engineer IV,2,52 Longview Trail,182336,751,2023-09-22 00:00:00
752,Help Desk Operator,2,571 Mesta Alley,199718,752,2023-10-19 00:00:00
753,Senior Sales Associate,8,35697 Clarendon Circle,177533,753,2023-10-17 00:00:00
754,Graphic Designer,5,61 Wayridge Crossing,193242,754,2023-09-12 00:00:00
755,Help Desk Operator,2,77571 Victoria Crossing,102369,755,2023-09-30 00:00:00
756,Clinical Specialist,9,30491 Mendota Pass,150013,756,2023-09-19 00:00:00
757,Administrative Assistant III,8,0 Tony Pass,123173,757,2023-09-02 00:00:00
758,GIS Technical Architect,5,55 Johnson Circle,81369,758,2023-10-06 00:00:00
759,Web Developer IV,10,98847 Lindbergh Street,199303,759,2023-10-24 00:00:00
760,Human Resources Manager,5,2 Susan Terrace,182581,760,2023-10-10 00:00:00
761,Research Assistant I,5,7265 Pepper Wood Terrace,178386,761,2023-09-22 00:00:00
762,Teacher,6,8948 Ronald Regan Lane,185677,762,2023-09-21 00:00:00
763,Assistant Media Planner,1,910 American Place,142539,763,2023-10-20 00:00:00
764,Developer IV,3,51129 Esch Terrace,92839,764,2023-09-03 00:00:00
765,Senior Quality Engineer,3,5 Hayes Lane,83251,765,2023-09-13 00:00:00
766,Staff Accountant IV,2,078 Jay Road,105784,766,2023-10-21 00:00:00
767,Software Engineer IV,1,16 Kenwood Trail,129052,767,2023-09-26 00:00:00
768,Automation Specialist II,2,065 Lotheville Alley,163674,768,2023-10-02 00:00:00
769,Web Developer I,6,63 Del Mar Place,101912,769,2023-10-13 00:00:00
770,Health Coach I,10,69394 Sugar Drive,149179,770,2023-10-14 00:00:00
771,Office Assistant III,0,13007 Sundown Hill,92765,771,2023-09-16 00:00:00
772,VP Accounting,6,95 Sycamore Street,108590,772,2023-09-08 00:00:00
773,Executive Secretary,0,629 Oakridge Parkway,100422,773,2023-10-01 00:00:00
774,Budget/Accounting Analyst IV,0,11184 Nelson Place,94841,774,2023-10-07 00:00:00
775,VP Accounting,4,2335 Sundown Drive,185738,775,2023-09-09 00:00:00
776,Financial Analyst,6,610 Michigan Trail,194861,776,2023-09-05 00:00:00
777,Web Developer I,10,417 Maple Wood Lane,119681,777,2023-10-05 00:00:00
778,Cost Accountant,1,29 Prairieview Junction,115606,778,2023-10-08 00:00:00
779,Editor,6,9 Muir Way,150997,779,2023-09-19 00:00:00
780,Food Chemist,5,11971 1st Point,190183,780,2023-10-04 00:00:00
781,Physical Therapy Assistant,0,2 Sheridan Center,128029,781,2023-10-24 00:00:00
782,Administrative Officer,1,9077 Atwood Road,84967,782,2023-10-18 00:00:00
783,Professor,5,87 Old Shore Circle,99475,783,2023-09-18 00:00:00
784,Senior Sales Associate,9,101 Sutteridge Crossing,86916,784,2023-10-16 00:00:00
785,Payment Adjustment Coordinator,7,434 Bartelt Alley,115880,785,2023-09-20 00:00:00
786,Human Resources Assistant III,1,38 Mayfield Road,187377,786,2023-09-11 00:00:00
787,Programmer I,2,4 Packers Crossing,186321,787,2023-09-04 00:00:00
788,Tax Accountant,2,3 Lakewood Gardens Junction,191300,788,2023-10-01 00:00:00
789,Legal Assistant,9,07 Northview Road,166309,789,2023-09-17 00:00:00
790,Associate Professor,2,9 Merchant Junction,118290,790,2023-09-27 00:00:00
791,Senior Editor,8,09 Gale Court,134101,791,2023-09-07 00:00:00
792,Product Engineer,0,675 Sommers Street,129752,792,2023-09-15 00:00:00
793,Nuclear Power Engineer,5,02829 Green Ridge Parkway,146980,793,2023-10-22 00:00:00
794,Web Developer I,2,2 Nevada Place,182716,794,2023-10-03 00:00:00
795,Payment Adjustment Coordinator,7,1281 Vermont Street,177729,795,2023-09-29 00:00:00
796,Administrative Officer,10,38 David Trail,177921,796,2023-09-10 00:00:00
797,Recruiter,5,86793 Shelley Place,149348,797,2023-10-18 00:00:00
798,Staff Accountant II,3,98821 Pine View Terrace,94941,798,2023-09-05 00:00:00
799,Nuclear Power Engineer,4,9 Mayer Park,150631,799,2023-09-02 00:00:00
800,Web Developer II,6,80 David Circle,145899,800,2023-09-24 00:00:00
801,Web Designer II,0,800 Northview Plaza,183161,801,2023-09-03 00:00:00
802,Recruiting Manager,5,25751 Pearson Point,160071,802,2023-09-17 00:00:00
803,Compensation Analyst,9,938 Nelson Center,118784,803,2023-09-04 00:00:00
804,Research Nurse,7,6108 Shoshone Plaza,163086,804,2023-09-15 00:00:00
805,Media Manager III,3,0 Emmet Court,168263,805,2023-09-26 00:00:00
806,Marketing Assistant,3,31960 Quincy Alley,177696,806,2023-09-27 00:00:00
807,GIS Technical Architect,0,8 Debs Drive,135952,807,2023-10-13 00:00:00
808,VP Accounting,9,804 Maryland Point,165010,808,2023-09-01 00:00:00
809,Accounting Assistant II,7,49 Hoffman Center,162378,809,2023-09-04 00:00:00
810,Chief Design Engineer,3,65321 Lindbergh Road,154570,810,2023-10-24 00:00:00
811,Engineer I,2,84013 Graedel Way,170312,811,2023-10-22 00:00:00
812,Help Desk Technician,8,94 Brickson Park Lane,106536,812,2023-09-30 00:00:00
813,Office Assistant I,6,0 Norway Maple Park,86092,813,2023-09-13 00:00:00
814,Director of Sales,0,135 Ridgeway Lane,184657,814,2023-10-01 00:00:00
815,Operator,10,236 Oak Street,86610,815,2023-09-28 00:00:00
816,Data Coordinator,10,088 Clarendon Circle,98658,816,2023-10-11 00:00:00
817,GIS Technical Architect,7,85 Logan Crossing,87813,817,2023-09-20 00:00:00
818,Nuclear Power Engineer,4,7 Pond Junction,144144,818,2023-09-13 00:00:00
819,Database Administrator II,1,7762 Victoria Way,80184,819,2023-10-19 00:00:00
820,Physical Therapy Assistant,5,2 Nelson Place,170514,820,2023-09-02 00:00:00
821,Cost Accountant,1,876 Forest Terrace,100538,821,2023-09-06 00:00:00
822,Environmental Specialist,10,09 Daystar Court,163417,822,2023-10-13 00:00:00
823,Internal Auditor,4,0 Susan Point,164745,823,2023-09-14 00:00:00
824,Analyst Programmer,6,14095 Talisman Park,145196,824,2023-09-25 00:00:00
825,Chief Design Engineer,6,47682 Wayridge Junction,118751,825,2023-09-07 00:00:00
826,Database Administrator II,8,3224 Scoville Avenue,110796,826,2023-09-11 00:00:00
827,Legal Assistant,6,2 Hallows Parkway,129039,827,2023-10-07 00:00:00
828,Information Systems Manager,1,59731 Tomscot Street,169772,828,2023-09-02 00:00:00
829,Financial Analyst,2,8 Alpine Circle,175233,829,2023-09-29 00:00:00
830,Food Chemist,5,85090 Springs Trail,92627,830,2023-09-19 00:00:00
831,Accounting Assistant IV,4,358 Daystar Place,135968,831,2023-10-08 00:00:00
832,Sales Associate,5,95 Sage Alley,122428,832,2023-09-21 00:00:00
833,Database Administrator III,0,980 Cordelia Hill,142689,833,2023-10-18 00:00:00
834,Administrative Officer,9,70 Warbler Parkway,161621,834,2023-10-22 00:00:00
835,Quality Control Specialist,5,52984 Schmedeman Place,165680,835,2023-09-02 00:00:00
836,VP Marketing,5,65202 Steensland Point,86540,836,2023-09-26 00:00:00
837,Automation Specialist III,10,6 Blue Bill Park Road,187788,837,2023-09-30 00:00:00
838,Assistant Manager,7,4158 Burning Wood Way,192026,838,2023-09-11 00:00:00
839,Physical Therapy Assistant,9,25 Pond Crossing,166324,839,2023-10-03 00:00:00
840,Project Manager,0,01981 Crest Line Alley,182782,840,2023-10-13 00:00:00
841,Legal Assistant,0,1994 Oak Way,138574,841,2023-10-24 00:00:00
842,Geologist IV,9,0 Evergreen Center,186996,842,2023-09-17 00:00:00
843,Paralegal,3,861 Artisan Trail,87845,843,2023-10-16 00:00:00
844,Account Representative I,1,57654 Warbler Alley,94383,844,2023-09-18 00:00:00
845,Account Coordinator,1,3 Mayer Circle,185976,845,2023-10-19 00:00:00
846,Help Desk Operator,3,18 Ryan Hill,187320,846,2023-10-15 00:00:00
847,Financial Analyst,8,974 5th Lane,125692,847,2023-10-05 00:00:00
848,Software Engineer III,0,6 Texas Way,198769,848,2023-10-08 00:00:00
849,Nuclear Power Engineer,9,1808 Graedel Parkway,151184,849,2023-10-09 00:00:00
850,Product Engineer,8,869 Northfield Terrace,150771,850,2023-10-07 00:00:00
851,Environmental Tech,8,463 Dakota Way,121408,851,2023-09-07 00:00:00
852,Payment Adjustment Coordinator,4,89944 Oakridge Parkway,170573,852,2023-10-24 00:00:00
853,Account Representative II,5,75 Pennsylvania Circle,92276,853,2023-09-16 00:00:00
854,Associate Professor,10,0049 Kensington Point,84973,854,2023-10-22 00:00:00
855,Analog Circuit Design manager,7,23 Lawn Center,84054,855,2023-09-17 00:00:00
856,Geological Engineer,6,96 Oneill Plaza,99419,856,2023-09-24 00:00:00
857,Environmental Specialist,10,5806 Sugar Street,156657,857,2023-09-18 00:00:00
858,Staff Accountant I,5,446 Sloan Pass,140502,858,2023-09-21 00:00:00
859,Assistant Professor,3,04 Graedel Crossing,142243,859,2023-09-03 00:00:00
860,Recruiter,3,5703 Comanche Trail,85007,860,2023-10-05 00:00:00
861,Chemical Engineer,5,9246 Hansons Avenue,123061,861,2023-09-07 00:00:00
862,Director of Sales,9,3612 Westend Point,98123,862,2023-09-15 00:00:00
863,Associate Professor,6,093 Maple Wood Park,131390,863,2023-09-08 00:00:00
864,Geologist IV,6,49204 Vernon Alley,92818,864,2023-10-18 00:00:00
865,Information Systems Manager,0,649 Crowley Circle,173470,865,2023-09-09 00:00:00
866,Environmental Tech,0,7 Anniversary Junction,143480,866,2023-10-12 00:00:00
867,Database Administrator IV,1,9494 Chinook Terrace,123506,867,2023-09-18 00:00:00
868,Account Representative III,7,5979 Carberry Plaza,88640,868,2023-09-19 00:00:00
869,Information Systems Manager,9,63 Miller Court,114157,869,2023-10-05 00:00:00
870,Financial Analyst,1,2717 Oak Valley Parkway,87763,870,2023-10-12 00:00:00
871,Nurse,7,62 Duke Pass,82111,871,2023-09-24 00:00:00
872,Human Resources Assistant IV,2,1 Fremont Point,163240,872,2023-09-30 00:00:00
873,VP Quality Control,9,96 Spohn Terrace,80601,873,2023-09-10 00:00:00
874,VP Accounting,1,6289 Duke Circle,186202,874,2023-09-17 00:00:00
875,Budget/Accounting Analyst II,10,1440 Roxbury Pass,191159,875,2023-09-22 00:00:00
876,Data Coordinator,6,54444 Lakeland Place,144728,876,2023-10-16 00:00:00
877,Cost Accountant,2,52183 Nova Drive,137292,877,2023-10-17 00:00:00
878,VP Sales,5,40 Texas Park,90658,878,2023-09-15 00:00:00
879,Research Associate,7,22906 Forest Park,105435,879,2023-10-22 00:00:00
880,Structural Engineer,0,109 Northfield Crossing,155589,880,2023-10-03 00:00:00
881,Computer Systems Analyst III,4,0265 Hanover Trail,189605,881,2023-09-18 00:00:00
882,Marketing Assistant,6,5 Grayhawk Street,112428,882,2023-09-12 00:00:00
883,Clinical Specialist,9,42 Hooker Street,109213,883,2023-09-30 00:00:00
884,Editor,10,1 Kedzie Park,83635,884,2023-10-21 00:00:00
885,Account Executive,8,599 Haas Plaza,145961,885,2023-09-21 00:00:00
886,Clinical Specialist,2,4 Parkside Point,109054,886,2023-09-08 00:00:00
887,Financial Advisor,9,56 Del Mar Junction,127715,887,2023-10-19 00:00:00
888,Marketing Manager,8,37556 Eastwood Park,96431,888,2023-10-13 00:00:00
889,Data Coordinator,4,429 American Ash Circle,142009,889,2023-10-19 00:00:00
890,VP Marketing,0,85 Daystar Road,84883,890,2023-09-07 00:00:00
891,Clinical Specialist,2,4028 Clarendon Road,135788,891,2023-10-24 00:00:00
892,Junior Executive,2,7051 Oak Valley Center,192210,892,2023-09-24 00:00:00
893,Registered Nurse,10,012 Heffernan Trail,107127,893,2023-09-11 00:00:00
894,Mechanical Systems Engineer,6,665 Jana Alley,118144,894,2023-09-04 00:00:00
895,Web Developer IV,6,0468 Fordem Circle,147563,895,2023-10-19 00:00:00
896,Senior Developer,10,17148 Melvin Trail,123727,896,2023-10-21 00:00:00
897,Registered Nurse,6,4937 Meadow Vale Point,142852,897,2023-09-06 00:00:00
898,Database Administrator III,3,5504 4th Terrace,92648,898,2023-09-02 00:00:00
899,Associate Professor,5,38 Grover Avenue,175775,899,2023-09-13 00:00:00
900,Senior Sales Associate,5,5617 Gale Center,104526,900,2023-10-07 00:00:00
901,Paralegal,9,86 Crest Line Alley,162809,901,2023-09-16 00:00:00
902,Data Coordinator,10,9546 Morningstar Avenue,107972,902,2023-09-09 00:00:00
903,Civil Engineer,3,8286 Golf Course Crossing,104252,903,2023-09-29 00:00:00
904,Senior Editor,1,5282 Clemons Center,98842,904,2023-10-16 00:00:00
905,Biostatistician II,3,3341 Arapahoe Park,95059,905,2023-09-17 00:00:00
906,Marketing Assistant,1,7787 Gateway Way,115097,906,2023-10-02 00:00:00
907,Geologist II,1,1 Bartillon Court,95211,907,2023-10-01 00:00:00
908,Junior Executive,0,9261 Garrison Terrace,179810,908,2023-10-11 00:00:00
909,VP Product Management,2,07436 Clarendon Road,104814,909,2023-10-04 00:00:00
910,Senior Editor,6,117 Hooker Hill,151723,910,2023-09-04 00:00:00
911,Safety Technician III,4,391 Leroy Center,199039,911,2023-09-03 00:00:00
912,Internal Auditor,4,8 Raven Drive,81504,912,2023-10-01 00:00:00
913,Librarian,2,7678 Dorton Lane,124571,913,2023-09-23 00:00:00
914,Tax Accountant,4,9330 Emmet Crossing,92297,914,2023-10-17 00:00:00
915,VP Accounting,6,80 Daystar Plaza,109618,915,2023-09-08 00:00:00
916,Senior Cost Accountant,8,43 Pearson Lane,183736,916,2023-09-26 00:00:00
917,Safety Technician I,8,5510 Sommers Hill,181873,917,2023-09-18 00:00:00
918,Web Developer I,7,1256 Memorial Parkway,103204,918,2023-09-02 00:00:00
919,Assistant Manager,7,788 Swallow Point,145946,919,2023-10-11 00:00:00
920,Research Assistant II,1,355 Novick Lane,166567,920,2023-10-13 00:00:00
921,Social Worker,9,1002 Blackbird Circle,188727,921,2023-09-02 00:00:00
922,Pharmacist,6,24 Wayridge Drive,158292,922,2023-10-05 00:00:00
923,Nurse Practicioner,9,7284 Karstens Place,94310,923,2023-10-09 00:00:00
924,Recruiting Manager,9,9 Linden Center,194103,924,2023-10-16 00:00:00
925,Help Desk Operator,8,923 Morningstar Drive,119822,925,2023-09-20 00:00:00
926,Human Resources Assistant II,5,79460 Ridgeview Drive,111555,926,2023-10-14 00:00:00
927,Budget/Accounting Analyst I,1,250 Clarendon Street,95237,927,2023-09-12 00:00:00
928,Sales Associate,9,94086 Hoffman Park,140203,928,2023-10-22 00:00:00
929,Analog Circuit Design manager,7,2 Pepper Wood Parkway,193870,929,2023-09-27 00:00:00
930,General Manager,10,585 Scofield Court,80192,930,2023-10-11 00:00:00
931,Administrative Officer,4,5621 Pond Pass,199318,931,2023-09-07 00:00:00
932,VP Marketing,10,326 Bunting Street,99942,932,2023-09-05 00:00:00
933,Nurse Practicioner,3,92505 Kropf Parkway,196008,933,2023-09-29 00:00:00
934,VP Sales,4,2292 Butterfield Court,152886,934,2023-10-19 00:00:00
935,Programmer IV,6,5708 Rusk Way,164922,935,2023-10-22 00:00:00
936,Product Engineer,0,8076 Sunfield Circle,82176,936,2023-09-21 00:00:00
937,Developer III,1,77 Sycamore Drive,96607,937,2023-09-24 00:00:00
938,Civil Engineer,5,31 Fuller Parkway,113740,938,2023-09-09 00:00:00
939,Dental Hygienist,2,3 Haas Pass,193096,939,2023-10-12 00:00:00
940,Senior Editor,1,685 Vidon Park,128192,940,2023-09-28 00:00:00
941,VP Quality Control,5,56 Eagan Road,118999,941,2023-09-19 00:00:00
942,Legal Assistant,6,2697 Havey Park,102759,942,2023-09-26 00:00:00
943,Structural Engineer,7,17 Stephen Street,93070,943,2023-09-11 00:00:00
944,Budget/Accounting Analyst III,2,5179 Boyd Junction,95259,944,2023-09-30 00:00:00
945,Graphic Designer,3,2341 Ridgeway Avenue,174988,945,2023-09-25 00:00:00
946,Biostatistician II,10,90 Ilene Park,122382,946,2023-09-13 00:00:00
947,Geologist I,3,82 Tennyson Trail,105920,947,2023-10-15 00:00:00
948,Technical Writer,9,564 Trailsway Pass,89943,948,2023-10-21 00:00:00
949,Help Desk Technician,5,58 Melvin Avenue,112514,949,2023-09-20 00:00:00
950,Staff Accountant II,5,5 Hallows Street,158622,950,2023-09-13 00:00:00
951,Design Engineer,5,4 Forest Hill,83879,951,2023-10-07 00:00:00
952,Compensation Analyst,1,56 Morning Court,122536,952,2023-10-18 00:00:00
953,Tax Accountant,2,3 Center Trail,100726,953,2023-10-05 00:00:00
954,Tax Accountant,6,97 Barnett Park,133463,954,2023-10-13 00:00:00
955,Nuclear Power Engineer,0,3671 Lindbergh Terrace,135874,955,2023-09-18 00:00:00
956,Office Assistant II,4,638 Manufacturers Park,179148,956,2023-09-30 00:00:00
957,Product Engineer,5,3206 Oak Center,139055,957,2023-10-09 00:00:00
958,Marketing Manager,10,295 Thompson Street,80786,958,2023-09-11 00:00:00
959,Chief Design Engineer,8,85844 Mosinee Trail,92384,959,2023-10-11 00:00:00
960,Sales Representative,10,5221 East Road,111526,960,2023-10-21 00:00:00
961,Budget/Accounting Analyst IV,3,76 Loeprich Circle,132680,961,2023-10-13 00:00:00
962,Web Developer II,1,177 Dovetail Trail,170999,962,2023-09-25 00:00:00
963,Food Chemist,3,90455 Meadow Ridge Terrace,187847,963,2023-09-14 00:00:00
964,Software Consultant,5,5191 Acker Street,96819,964,2023-10-12 00:00:00
965,Food Chemist,0,02 Brentwood Park,171121,965,2023-10-05 00:00:00
966,Design Engineer,8,58 Delladonna Terrace,131644,966,2023-10-06 00:00:00
967,Editor,9,6 Northwestern Alley,148602,967,2023-10-13 00:00:00
968,Desktop Support Technician,0,4 School Place,126343,968,2023-10-15 00:00:00
969,Pharmacist,2,965 Kenwood Trail,102101,969,2023-09-23 00:00:00
970,Internal Auditor,7,80 Laurel Place,96137,970,2023-10-09 00:00:00
971,Web Designer III,2,73 Drewry Trail,180541,971,2023-09-23 00:00:00
972,Professor,0,498 New Castle Street,114011,972,2023-09-21 00:00:00
973,Internal Auditor,6,43205 Steensland Pass,177769,973,2023-10-05 00:00:00
974,Analyst Programmer,4,09 Sommers Point,124662,974,2023-09-21 00:00:00
975,Editor,5,952 Northridge Place,96610,975,2023-09-08 00:00:00
976,Financial Analyst,8,24 Lakeland Trail,105846,976,2023-09-16 00:00:00
977,Research Assistant I,7,4991 Commercial Junction,148940,977,2023-10-07 00:00:00
978,Chemical Engineer,5,90036 North Alley,156454,978,2023-10-22 00:00:00
979,Associate Professor,4,39 Independence Drive,168392,979,2023-09-21 00:00:00
980,Professor,8,4 Anderson Crossing,158129,980,2023-10-01 00:00:00
981,Assistant Professor,10,869 Cherokee Point,94551,981,2023-09-20 00:00:00
982,Technical Writer,5,7594 Cardinal Crossing,123954,982,2023-09-23 00:00:00
983,Geological Engineer,10,0706 Hoard Point,160289,983,2023-10-03 00:00:00
984,Librarian,5,3754 Namekagon Alley,148091,984,2023-10-01 00:00:00
985,Accounting Assistant III,5,471 Memorial Park,116596,985,2023-10-05 00:00:00
986,Health Coach III,5,6 Mcguire Trail,104690,986,2023-09-29 00:00:00
987,Financial Advisor,7,610 Mosinee Avenue,127267,987,2023-09-16 00:00:00
988,Help Desk Technician,2,2931 Anniversary Center,97435,988,2023-10-20 00:00:00
989,Developer IV,4,62246 7th Lane,137554,989,2023-10-13 00:00:00
990,Office Assistant I,5,30 Waywood Plaza,125606,990,2023-09-23 00:00:00
991,Electrical Engineer,3,87 School Junction,159571,991,2023-09-26 00:00:00
992,Help Desk Operator,7,27 Vermont Terrace,136675,992,2023-09-28 00:00:00
993,Project Manager,10,386 Karstens Terrace,193459,993,2023-09-27 00:00:00
994,Electrical Engineer,5,652 Armistice Parkway,187734,994,2023-09-01 00:00:00
995,Recruiting Manager,1,2 Summerview Hill,138023,995,2023-09-12 00:00:00
996,Staff Accountant I,4,6015 Donald Court,172707,996,2023-10-08 00:00:00
997,Executive Secretary,7,2556 Artisan Center,190819,997,2023-10-12 00:00:00
998,Payment Adjustment Coordinator,10,6 Rutledge Road,151496,998,2023-10-02 00:00:00
999,Systems Administrator IV,4,1 Mockingbird Lane,175248,999,2023-09-24 00:00:00
1000,Accounting Assistant I,6,565 Independence Parkway,145437,1000,2023-10-07 00:00:00
